A Capella
Calimero
Callonetta
Calvados
Calypso
Camelot
Camille
Candlelight
Cap Arcona
Cape York
Caprice
Captain Future
Captain Hook
Captain Jack
Caramba
Carambola
Carat
Caribbean Queen
Carissima
Carlotta
Carmen
Carpe Diem
Carpillon
Cascata
Casper
Caspian
Cassandra
Catherine
Cayenne
Celebrator
Centaurus
Central Star
Champ
Changeing Winds
Charisma
Charles Darwin
Charlice
Charlyn
Cherry
Chewbacca
Chili -Lilly
Ching, Chang, Chong
Chouchou
Cielo Stellato
Cinderella
Circumnavigator
Citydream
Clarabella
Clear Sky
Cleopatra
Clivia
Cobalt
Cogito, ergo sum
Columbus
Commodore 64
Concordia
Continuum
Coralynn
Cosima
Costa Luna
Coupelle
Crossover
Cruising Speed
Crystal
Crystal clear
Cutie
Cynthia
Daisy
Damp Squib
Dancing Pirate
Daniella
Daphne
Darling
Darth Vader
Davion
Deep Blue
Déjà vu
Delfin
Delphia
Delphin
demi-sec
Destiny Unknown
Diamond
Dicke
Die faule Paula
Die rote Zora
Die Sanfte
Dingenskirchen
Discovery
Doktor Snuggles
Dolina
Dolphin
Don Camillo
Don Quichotte
Don Quixote
Dorina
Dorine
Dornröschen
Doulos
Dragonfly
Dream Boat
Dream Flyer
Dreamcatcher
Drop Zone
Dschingis Khan
Dynamic Wave
Eagle
Easy Glider
Easy Rider
Echelon
Eclipse
Ecstasy
Edelstein
Ego sum, qui sum
Eila
Eisbrecher
Eisvogel
El Capitan
Elisa
Elite
Elixir
Elliot
Elodie
Eloisa
Emma
Endeavor
Endless Summer
Engelsgleich
Enya
Esmeralda
Esperanza
Esprit
Estrella
Etrusker
Evelina
Every Day
Evita
Excalibur
Exotic
Exotica
Eye Sea U
Fabiana
Fabienne
Fahr away
Faithful
Familienfähre
Famlienkutsche
Fantasea
Fantasia
Far Away
Fashion
Fayette
Feeling Fine
Feierabend
Felia
Figurehead
Finchen
Firefly
Fireheart
Fisherman's Friend
Fishful Thinking
Flamingo
Flaschenpost
Fleur
Flicka
Fliewatüüt
Flipper
Flitze Feuerzahn
Florentina
Floribella
Florida Lady
Flotte Biene
Flotte Lotte
Flotter Flitzer
Flour Gold
Flower-Power
Fluchtversuch
Flußkreuzer
Flussperle
Flusspferd
Fön-Nix
Fontäne
Forever
Forever Wet
Forever Young
Fortuna
Fraggle
Frau am Steuer
Frau Holle
Frau Mahlzahn
Frauenpower
Freak
Freches Früchtchen
Freedom
Fregatte
Freies Geleit
Freischwimmer
frisch, fromm, fröhlich, frei
Frische Briese
Frisia
Frog
Froschlöffel
Fun Factory
Fun-Faktor
Galactica
Galeere
Galileo
Galleta
Gaulos
Gegen den Wind
Geierwally
Geldanlage
Generation C64
Generation X
Geysir
Globetrotter
Glucks
Godspeed
Gold Marie
Golden Hinde
Goldfisch
Goldrausch
Good Hope
Gooseberry
Gorch Fock
Graf Zahl
Graf Zeppelin
Granny
Great Western
Grobi
Gromet
Gute Laune
Gwendolin
H2O
H2O breaker
H2O swimmer
Hafenratte
Hannibal
Happy Ours
Harmony
Haubentaucher
Hausboot
Heartbeat
Heide Röschen
Heiliger Bimbam
Hella Wahnsinn
Hercules
Herr Nilsson
Herr von Bödefeld
Himmelsboote
Himmelsscheibe
Hippie
Hobbycar
Hoppetosse
Horizont
Huckleberry Finn
Hurrikane
Hurry Anne
Hydra
Hyperion
Hypoxia
iBoat
Idol
Illumination
Imagination
In flagranti
Independence
Indian Summer
Intrepid
Isabella
Isalie
Isana
Isidora
Isis
Island Hopper
It's my life
Itzi-Bitzi
Ivette
Ja, Schatz
Jade
James Cook
Janice
Janosch
Jaspis
Jedi-Knight
Jedi-Ritter
Jellyfish
Jetstream
Jewel
Jim Knopf
Joker
Jolle
Jolly Jumper
Josephine
Julissa
Jurassic Ark
Juwel
Kaduku
Kaleidoscope
Kalte Briese
Kap der Guten Hoffnung
Kap Hoorn
Karthago
Kassiopeia
Kaulquappe
Kavalier
Kenterprise
Kermit
Kjell
Klabautermann
Klimbim
Knallfrosch
Knatterton
Kogge
Kompass
Kon-Tik
Koralle
Kosakenzipfel
Krähennest
Kronprinz
Kuddelmuddel
La Paloma
La Playa
Laila
Lalelu
Lancelot
Laurencia
Laurine
Lawless
Leandra
Lebenselexier
Lebenskünstler
Leichtmatrose
Leif Eriksson
Leila
Leona
Les Misérables
Leuchtturm
Libelle
Liberty
Liebessturm
Lifestyle
Light Blue
Lightspeed
Lili Ann
Lili Marleen
Loch Ness
Lola
Lolita
Lollipop
Long Way
Lord
Loreen
Loreley
Lorella
Lorena
Loretta
Loriane
Lou-Ann
Love Affair
love me tender
Lovisa
Lucia
Lucky Luke
Lucky Star
Luja
Lulatsch
Luminara
Luminaries
Lunar Flight
Lusitania
Luxusdampfer
Luxusliner
Lysanne
Mable
Macarena
Madleine
Magellan
Magic Carpet
Majestic Blue
Mamma Mia
Mann an Board
Männertraum
Manolito
Maracuja
Märchenbraut
Mare
Marella
Marie Antoinette
Marielle
Mariola
Marrakesch
Mary-Lou
Mary-Lynn
Matrose
Mayflower
McFly
Meena
Meeresbriese
Meeresluft
Meerjungfrau
Meersalz
Meerschweinchen
Mein bestes Stück
Mein ein und alles
Meine Kleine
Meine Olle
Melmac
Melody
Meridian
Merlin
Mermaid
Midlife Crisis
Minerva
Mirabella
Mirabelle
Miranda
Misery
Miss Marple
Miss Sophie
Moby Dick
Mogli
Moonlit
Morgensonne
Morris
Mosquito
Möwe
Mr. Pommeroy
Mr. Winterbottom
Mumpitz
Muschel
My best friend
My Boot is my Castle
My Favorite
My Lady
My Maid
Mystic
Mystic Blue
Mystique
Namenlos
Napoleon
Narnia
Natural
Nauticus
Nautilus
Navetta
Navette
Nemisis
Nemo
Neptun
Nessie
Neverland
Nice Day
Night Sky
Nikitia
Nils Holgersson
Niña
Ninja Turtle
Noelle
Nofretete
North Star
Northern Lights
Nova
Nscho-tschi
O nass is
Oase
Oasis
Obsession
Ocean Quest
Ocean Spirit
Oceanic
Octopus
Odele
Odin
Odyssey
Ohne Floß nix los
Olivia
Olympic
Omandu
Ora et labora
Orakel
Orbit
Orion
Over the Ocean
Ozeandampfer
Ozeaner
Ozeanriese
Paddy
Paganino
Paloma Blanca
Pamir
Pan Tau
Pandora
Pangea
Papillon
Paradox
Paraffin
Passat
Passion Fruit
Patch of Sky
Pathfinder
Peaceful
Peacemaker
Pegasus
Penelope
Pepper
Peppino
Peppone
Perfect Catch
Perfect Day
Perfect Girl
Perla
Perle
Perle des Nordens
Perseus
Peter Pan
Petit Bateau
Petit Fripon
Petite fleur
Petticoat
Pfeffermühle
Phila
Philine
Physalia
Piccobello
Piccolo
Pink Panther
Pippi Langstrumpf
Pippilotta
Pirat Bay
Pirol
Pit's Cock
Planke
Plaste und Elaste
Playground
Pocahontas
Polaris
Pollastrella
Popeye
Poseidon
Potosi
Prima Donna
Princess
Prisca
Private Bay
Privatinsel
PrivatsFähre
Privatsphäre
Purple Rain
Pyrit
Quietscheentchen
Quinta
Raccoon
Radiant
Rainbow
Rainbow's End
Rambazamba
Ramsis
Rantanplan
Rappelkiste
Rapunzel
Raspberry
Ratatouille
Reel Escape
Reflections
Regina
Renegade
Rescuing Angel
Rettungsinsel
Rettungsring
Rhapsody
Rhein Mein
Rhein Neckker
Ricarda
Ripple
River
Robin Hood
Robinson Crusoe
Rocket Valentin
Rosalie
Rosalinda
Rosalita
Rosenrot
Rotkäppchen
Roulette
Royal
Rubin
Ruhezone
Rumpelstilzchen
Saana
Sabina
Safiya
Sahneschnitte
Sail Away
Sailor Moon
Sailor of Fortune
Salomon
Samson
San Diego
Sandrine
Santa Maria
Scarlett
Schabracke
Schatzsucher
Scheherazade
Schellfisch
Schiff ahoi!
Schilfpirat
Schleichmichel
Schlumpfine
Schnattchen
Schneeweißchen
Schnick, Schnack, Schnuck
Sea Angel
Sea Cucumber
Sea Devil
Sea Horse
Sea Pearl
Sea u later
Seafaring
Seaquester
Seashell
Seashore
Seaside
Seaweed
Seealge
Seebär
Seegang
Seegurke
Seeigel
Seejungfer
Seeker
Seemannsgarn
Seepferdchen
Seerose
Seestern
Seevogel
Seewalze
Seewolf
Segeloase
Segelpferd
Self-Awareness
Semper
Serafina
Serena
Serendipity
Serenity
Seven Seas
Shakira
Shalima
Sheriff
Sherlock Holmes
Ship Ahoy
Ship of Fools
Shirin
Short Bermuda
Shrimp
Sieben Meere
Siebenstein
Sierra
Silas
Silberflügel
Silhouette
Silueta
Silver
Silver Surfer
Silversun
Simply the Best
Simsalabim
Sindbad
Sink Positive
Sir Toby
Siri
Sirius
Skin-Diver
Skipper
Sky Line
Skyland
Skyline
Skywalker
Slalom
Smaragd
Smilla
Snoopy
Soleica
Soleil
Sommermädchen
Sommerspaß
Sommersprosse
Son of the Beach
Sonderbar
Sonnenwind
Soraya
Soul Music
Southern Lady
Southern Star
Souvenir
Space Baby
Speed
Speedy Gonzales
Sphinx
Spielraum
Spirit
Spirit Level
Spongebob
Sportskanone
Spray
Sprocket
Sprotte
Sputnik
Squeeze
Squib
St. Laurent
St. Mary
Stage Fever
Star Clipper
Star Flyer
Starfish
Stargazer
Statussymbol
Steife Briese
Stellaluna
Sternenflotte
Sternstunde
Sterntaler
Sternwarte
Störtebecker
Strandhaubitze
Strandmuschel
Strategie
Strawberry
Style
Summa summarum
Summer Dream
Summer Feeling
Sun Dancer
Sunny
Sunrise
Sunstorm
Surprise
Suse
Suzette
Sweet Dream
Swimming Goggles
Taifun
Taka-Tuka
Talisman
Tamara
Tamarillo
Tante Polly
That's Life
The Simple Life
Therapy
Tiddler
Tiffy
Tigerauge
Timeline
Timm Thaler
Tingeltriene
Toller Hecht
Tortue
Trashy
Traumschiff
Treibholz
Tritanic
Tropical Paradise
True Love
Turmalin
Turtle
Twiti
Ultra
Umbrella
Unsinkbar 2
Ursprung
Utopia
Valentina
Valentine
Valhalla
Variant
Vasco da Gama
Vaters Morgana
Venga Boat
veni, vidi, vici
Vi
Vibrating Water
Vicky
Victoria
Villa Kunterbunt
Viola
Violette
Vivid Blue
Vogelfrei
Voyager
Vulkanier
Wahlheimat
Wahre Liebe
Walheimat
Walross
Warp 9
Wasserfahrzeug
Wasserfloh
Wasserläufer
Wassernixe
Wasserratte
Wasserschloss
Wasserspaß
Wasserspiel
Wasserweg
Water Blister
Water Gate
Water Lily
Water Wing
Waternoster
Watt U see
Wattwurm
Wave Bouncer
Wave Cutter
Wave-Freak
Wavelett
Wellenreiter
Wellentänzer
Wellness
Weltenbummler
Weltumsegler
Wendy
Wet Dreams
Wiki
Wikinger
Wild Island
Wild Jack
Wildlife
Wildness
Wind Chime
Wind Power
Windjammer
Windrose
Windschatten
Windspiel
Wings of Love
Winnewupp
Wölkchen
Wolkenlos
Wolkenmeer
Wonneproppen
World Safari
X tasty
Xalvadora
Xanthippe
Yamal
Yasmin
Yin und Yang
Yoda
Yolanda
Yvette
Yvo
Zenia
Zuckerpuppe
Zuflucht
